x,y,z,nx,ny,nz
1.10737,2.95209,0.801571,5.95533,-4.273,-2.34183
1.11427,2.96881,0.830165,5.88301,-4.53862,-2.24668
1.12163,2.98398,0.859164,5.80327,-4.78605,-2.15504
1.12944,2.9976,0.888569,5.71611,-5.01531,-2.0669
1.13771,3.00966,0.918379,5.62155,-5.22639,-1.98228
1.14643,3.02017,0.948594,5.51957,-5.41928,-1.90116
1.15561,3.02913,0.979214,5.41018,-5.594,-1.82355
1.16525,3.03653,1.01024,5.29337,-5.75053,-1.74945
1.17534,3.04237,1.04167,5.16915,-5.88888,-1.67886
1.18589,3.04667,1.07351,5.03752,-6.00905,-1.61178
1.1969,3.04941,1.10575,4.89848,-6.11104,-1.5482
1.20836,3.05059,1.1384,4.75202,-6.19485,-1.48814
1.22028,3.05022,1.17145,4.59815,-6.26048,-1.43158
1.23265,3.0483,1.2049,4.43687,-6.30792,-1.37853
1.24548,3.04483,1.23877,4.26817,-6.33719,-1.32899
1.25877,3.0398,1.27304,4.09207,-6.34827,-1.28296
1.27251,3.03321,1.30771,3.90854,-6.34117,-1.24044
1.28671,3.02507,1.34279,3.71761,-6.31589,-1.20143
1.30137,3.01538,1.37827,3.51926,-6.27243,-1.16592
1.31648,3.00413,1.41416,3.3135,-6.21079,-1.13393
1.33205,2.99133,1.45045,3.10033,-6.13097,-1.10544
1.34808,2.97698,1.48715,2.87974,-6.03297,-1.08046
1.36456,2.96107,1.52426,2.65174,-5.91678,-1.05899
1.3815,2.94361,1.56177,2.41633,-5.78242,-1.04103
1.39889,2.92459,1.59968,2.1735,-5.62987,-1.02657
1.41674,2.90403,1.638,1.92326,-5.45914,-1.01563
1.43429,2.88316,1.67656,1.67883,-5.28534,-1.00626
1.45078,2.86325,1.71517,1.4534,-5.12357,-0.99656
1.46621,2.8443,1.75385,1.24699,-4.97384,-0.986511
1.48059,2.82632,1.79259,1.05959,-4.83614,-0.97612
1.49391,2.80929,1.83138,0.891209,-4.71047,-0.965386
1.50617,2.79322,1.87024,0.741838,-4.59684,-0.954308
1.51738,2.77811,1.90916,0.611481,-4.49523,-0.942888
1.52752,2.76396,1.94814,0.500137,-4.40567,-0.931124
1.53661,2.75077,1.98719,0.407807,-4.32813,-0.919017
1.54464,2.73854,2.02629,0.334491,-4.26263,-0.906567
1.55162,2.72727,2.06545,0.280188,-4.20917,-0.893775
1.55753,2.71696,2.10468,0.244898,-4.16773,-0.880639
1.56239,2.70761,2.14397,0.228622,-4.13834,-0.86716
1.56619,2.69922,2.18331,0.23136,-4.12097,-0.853338
1.56894,2.69179,2.22272,0.253111,-4.11564,-0.839172
1.57063,2.68531,2.26219,0.293875,-4.12234,-0.824664
1.57125,2.6798,2.30172,0.353653,-4.14107,-0.809813
1.57083,2.67525,2.34132,0.432445,-4.17184,-0.794618
1.56934,2.67166,2.38097,0.53025,-4.21464,-0.779081
1.5668,2.66902,2.42068,0.647069,-4.26948,-0.7632
1.56319,2.66735,2.46046,0.782901,-4.33635,-0.746977
1.55854,2.66664,2.50029,0.937747,-4.41525,-0.73041
1.55282,2.66688,2.54019,1.11161,-4.50619,-0.7135
1.54605,2.66809,2.58015,1.30448,-4.60916,-0.696247
1.53822,2.67025,2.62017,1.51637,-4.72416,-0.678652
1.52988,2.67273,2.66023,1.73213,-4.84258,-0.662206
1.52159,2.67489,2.70033,1.93662,-4.95579,-0.648405
1.51334,2.67672,2.74045,2.12986,-5.0638,-0.637248
1.50515,2.67823,2.78061,2.31183,-5.16661,-0.628736
1.497,2.6794,2.8208,2.48254,-5.26421,-0.622867
1.48889,2.68026,2.86102,2.64198,-5.35661,-0.619643
1.48084,2.68079,2.90126,2.79016,-5.4438,-0.619063
1.47283,2.68099,2.94154,2.92708,-5.52579,-0.621127
1.46486,2.68087,2.98185,3.05273,-5.60257,-0.625836
1.45694,2.68042,3.02219,3.16712,-5.67416,-0.633189
1.44907,2.67964,3.06256,3.27025,-5.74053,-0.643186
1.44125,2.67854,3.10296,3.36211,-5.80171,-0.655827
1.43347,2.67712,3.1434,3.44271,-5.85768,-0.671112
1.42574,2.67537,3.18386,3.51205,-5.90844,-0.689042
1.41806,2.67329,3.22435,3.57012,-5.95401,-0.709616
1.41042,2.67089,3.26487,3.61693,-5.99436,-0.732834
1.40283,2.66816,3.30543,3.65247,-6.02952,-0.758696
1.39528,2.6651,3.34601,3.67676,-6.05947,-0.787203
1.38778,2.66172,3.38662,3.68977,-6.08421,-0.818354
1.38033,2.65802,3.42727,3.69153,-6.10375,-0.852149
1.37293,2.65399,3.46795,3.68202,-6.11809,-0.888588
1.36557,2.64963,3.50865,3.66125,-6.12723,-0.927672
1.35826,2.64495,3.54939,3.62921,-6.13116,-0.969399
1.35099,2.63994,3.59016,3.58591,-6.12988,-1.01377
1.34377,2.63461,3.63095,3.53135,-6.1234,-1.06079
1.33643,2.62877,3.67118,3.47354,-6.10914,-1.10449
1.32879,2.62223,3.71023,3.4205,-6.08449,-1.13893
1.32086,2.615,3.74811,3.37222,-6.04948,-1.1641
1.31264,2.60707,3.78481,3.32871,-6.00409,-1.18001
1.30413,2.59846,3.82034,3.28996,-5.94832,-1.18665
1.29532,2.58914,3.8547,3.25598,-5.88219,-1.18402
1.28621,2.57914,3.88788,3.22677,-5.80567,-1.17213
1.27682,2.56844,3.91989,3.20233,-5.71879,-1.15097
1.26713,2.55704,3.95072,3.18265,-5.62153,-1.12054
1.25714,2.54496,3.98038,3.16773,-5.51389,-1.08085
1.24687,2.53217,4.00887,3.15759,-5.39588,-1.03189
1.2363,2.5187,4.03618,3.15221,-5.2675,-0.973668
1.22543,2.50453,4.06232,3.1516,-5.12874,-0.906177
1.21428,2.48967,4.08728,3.15575,-4.97961,-0.829419
1.20283,2.47411,4.11107,3.16467,-4.8201,-0.743395
1.19108,2.45786,4.13368,3.17835,-4.65022,-0.648105
1.17904,2.44091,4.15513,3.19681,-4.46997,-0.543548
1.16671,2.42327,4.17539,3.22003,-4.27934,-0.429725
1.15409,2.40494,4.19449,3.24801,-4.07834,-0.306635
1.14117,2.38592,4.21241,3.28076,-3.86696,-0.174279
1.12796,2.3662,4.22915,3.31828,-3.64521,-0.0326567
1.11446,2.34578,4.24472,3.36057,-3.41308,0.118232
1.10066,2.32467,4.25912,3.40762,-3.17058,0.278387
1.08657,2.30287,4.27234,3.45944,-2.91771,0.447809
1.16554,2.90927,0.778502,5.67811,-4.28979,-2.27183
1.17173,2.92341,0.808031,5.60839,-4.54182,-2.17999
1.1783,2.93617,0.837931,5.53174,-4.77657,-2.09154
1.18526,2.94755,0.868202,5.44817,-4.99404,-2.00648
1.1926,2.95756,0.898843,5.35768,-5.19424,-1.9248
1.20033,2.96619,0.929855,5.26028,-5.37716,-1.84652
1.20844,2.97344,0.961238,5.15594,-5.5428,-1.77161
1.21694,2.97932,0.992992,5.04469,-5.69117,-1.7001
1.22582,2.98382,1.02512,4.92652,-5.82226,-1.63197
1.23509,2.98694,1.05761,4.80142,-5.93607,-1.56722
1.24474,2.98869,1.09048,4.66941,-6.03261,-1.50587
1.25477,2.98906,1.12371,4.53047,-6.11187,-1.4479
1.26519,2.98805,1.15732,4.38461,-6.17385,-1.39332
1.276,2.98567,1.1913,4.23183,-6.21855,-1.34212
1.28719,2.98191,1.22565,4.07213,-6.24598,-1.29431
1.29876,2.97677,1.26037,3.90551,-6.25613,-1.24989
1.31072,2.97026,1.29546,3.73196,-6.24901,-1.20885
1.32306,2.96237,1.33092,3.5515,-6.22461,-1.17121
